"","date2","variable","value"
"1",2017-09-01,"WS01",1.438888889
"2",2017-09-02,"WS01",0.898148148
"3",2017-09-03,"WS01",0.803703704
"4",2017-09-04,"WS01",0.772222222
"5",2017-09-05,"WS01",0.942592593
"6",2017-09-06,"WS01",1.385185185
"7",2017-09-07,"WS01",1.037037037
"8",2017-09-08,"WS01",0.966666667
"9",2017-09-09,"WS01",0.938888889
"10",2017-09-10,"WS01",0.896296296
"11",2017-09-11,"WS01",1.3
"12",2017-09-12,"WS01",1.268518519
"13",2017-09-13,"WS01",1.022222222
"14",2017-09-14,"WS01",0.968518519
"15",2017-09-15,"WS01",0.935185185
"16",2017-09-16,"WS01",0.896296296
"17",2017-09-17,"WS01",0.861111111
"18",2017-09-18,"WS01",0.831481481
"19",2017-09-19,"WS01",0.811111111
"20",2017-09-20,"WS01",0.777777778
"21",2017-09-21,"WS01",0.766666667
"22",2017-09-22,"WS01",0.751851852
"23",2017-09-23,"WS01",0.740740741
"24",2017-09-24,"WS01",0.72962963
"25",2017-09-25,"WS01",0.72037037
"26",2017-09-26,"WS01",0.714814815
"27",2017-09-27,"WS01",0.698148148
"28",2017-09-28,"WS01",0.690740741
"29",2017-09-29,"WS01",0.692592593
"30",2017-09-30,"WS01",0.664814815
"31",2017-10-01,"WS01",0.640740741
"32",2017-10-02,"WS01",0.646296296
"33",2017-10-03,"WS01",0.65
"34",2017-10-04,"WS01",0.648148148
"35",2017-10-05,"WS01",0.646296296
"36",2017-10-06,"WS01",0.642592593
"37",2017-10-07,"WS01",0.681481481
"38",2017-10-08,"WS01",4.024074074
"39",2017-10-09,"WS01",2.185185185
"40",2017-10-10,"WS01",1.153703704
"41",2017-10-11,"WS01",0.975925926
"42",2017-10-12,"WS01",0.892592593
"43",2017-10-13,"WS01",0.848148148
"44",2017-10-14,"WS01",0.827777778
"45",2017-10-15,"WS01",0.812962963
"46",2017-10-16,"WS01",1.02037037
"47",2017-10-17,"WS01",0.805555556
"48",2017-10-18,"WS01",0.792592593
"49",2017-10-19,"WS01",0.772222222
"50",2017-10-20,"WS01",0.761111111
"51",2017-10-21,"WS01",0.75
"52",2017-10-22,"WS01",0.751851852
"53",2017-10-23,"WS01",4.137037037
"54",2017-10-24,"WS01",1.618518519
"55",2017-10-25,"WS01",1.177777778
"56",2017-10-26,"WS01",1.038888889
"57",2017-10-27,"WS01",0.962962963
"58",2017-10-28,"WS01",2.087037037
"59",2017-10-29,"WS01",1.951851852
"60",2017-10-30,"WS01",1.403703704
"61",2017-10-31,"WS01",1.207407407
"62",2017-11-01,"WS01",1.101851852
"63",2017-11-02,"WS01",1.035185185
"64",2017-11-03,"WS01",0.992592593
"65",2017-11-04,"WS01",0.981481481
"66",2017-11-05,"WS01",0.948148148
"67",2017-11-06,"WS01",0.937037037
"68",2017-11-07,"WS01",1.751851852
"69",2017-11-08,"WS01",1.266666667
"70",2017-11-09,"WS01",1.166666667
"71",2017-11-10,"WS01",1.074074074
"72",2017-11-11,"WS01",1.018518519
"73",2017-11-12,"WS01",1.057407407
"74",2017-11-13,"WS01",0.996296296
"75",2017-11-14,"WS01",0.959259259
"76",2017-11-15,"WS01",0.942592593
"77",2017-11-16,"WS01",0.912962963
"78",2017-11-17,"WS01",0.890740741
"79",2017-11-18,"WS01",0.97962963
"80",2017-11-19,"WS01",0.987037037
"81",2017-11-20,"WS01",0.911111111
"82",2017-11-21,"WS01",0.912962963
"83",2017-11-22,"WS01",0.888888889
"84",2017-11-23,"WS01",0.874074074
"85",2017-11-24,"WS01",0.877777778
"86",2017-11-25,"WS01",0.875925926
"87",2017-11-26,"WS01",0.853703704
"88",2017-11-27,"WS01",0.868518519
"89",2017-11-28,"WS01",0.853703704
"90",2017-11-29,"WS01",0.838888889
"91",2017-11-30,"WS01",0.87962963
"92",2017-12-01,"WS01",0.874074074
"93",2017-12-02,"WS01",0.859259259
"94",2017-12-03,"WS01",0.833333333
"95",2017-12-04,"WS01",0.816666667
"96",2017-12-05,"WS01",1.109259259
"97",2017-12-06,"WS01",0.938888889
"98",2017-12-07,"WS01",0.874074074
"99",2017-12-08,"WS01",0.987037037
"100",2017-12-09,"WS01",1.02037037
"101",2017-12-10,"WS01",0.894444444
"102",2017-12-11,"WS01",0.942592593
"103",2017-12-12,"WS01",1
"104",2017-12-13,"WS01",0.931481481
"105",2017-12-14,"WS01",0.92037037
"106",2017-12-15,"WS01",0.907407407
"107",2017-12-16,"WS01",0.887037037
"108",2017-12-17,"WS01",0.890740741
"109",2017-12-18,"WS01",0.883333333
"110",2017-12-19,"WS01",0.855555556
"111",2017-12-20,"WS01",1.651851852
"112",2017-12-21,"WS01",1.175925926
"113",2017-12-22,"WS01",1.105555556
"114",2017-12-23,"WS01",1.427777778
"115",2017-12-24,"WS01",1.283333333
"116",2017-12-25,"WS01",1.101851852
"117",2017-12-26,"WS01",1.037037037
"118",2017-12-27,"WS01",1.009259259
"119",2017-12-28,"WS01",0.988888889
"120",2017-12-29,"WS01",0.97037037
"121",2017-12-30,"WS01",0.951851852
"122",2017-12-31,"WS01",0.946296296
"123",2018-01-01,"WS01",0.901851852
"124",2018-01-02,"WS01",0.907407407
"125",2018-01-03,"WS01",0.944444444
"126",2018-01-04,"WS01",0.909259259
"127",2018-01-05,"WS01",0.901851852
"128",2018-01-06,"WS01",0.909259259
"129",2018-01-07,"WS01",0.894444444
"130",2018-01-08,"WS01",0.940740741
"131",2018-01-09,"WS01",0.974074074
"132",2018-01-10,"WS01",0.97037037
"133",2018-01-11,"WS01",2.57037037
"134",2018-01-12,"WS01",3.911111111
"135",2018-01-13,"WS01",2.644444444
"136",2018-01-14,"WS01",1.82962963
"137",2018-01-15,"WS01",1.588888889
"138",2018-01-16,"WS01",1.455555556
"139",2018-01-17,"WS01",1.359259259
"140",2018-01-18,"WS01",1.281481481
"141",2018-01-19,"WS01",1.27962963
"142",2018-01-20,"WS01",1.237037037
"143",2018-01-21,"WS01",1.231481481
"144",2018-01-22,"WS01",1.451851852
"145",2018-01-23,"WS01",1.401851852
"146",2018-01-24,"WS01",1.261111111
"147",2018-01-25,"WS01",1.227777778
"148",2018-01-26,"WS01",1.209259259
"149",2018-01-27,"WS01",1.362962963
"150",2018-01-28,"WS01",1.909259259
"151",2018-01-29,"WS01",1.746296296
"152",2018-01-30,"WS01",1.368518519
"153",2018-01-31,"WS01",1.25
"154",2018-02-01,"WS01",1.253703704
"155",2018-02-02,"WS01",1.185185185
"156",2018-02-03,"WS01",1.140740741
"157",2018-02-04,"WS01",3.137037037
"158",2018-02-05,"WS01",2.218518519
"159",2018-02-06,"WS01",1.801851852
"160",2018-02-07,"WS01",4.068518519
"161",2018-02-08,"WS01",2.998148148
"162",2018-02-09,"WS01",2.292592593
"163",2018-02-10,"WS01",3.87962963
"164",2018-02-11,"WS01",24.76296296
"165",2018-02-12,"WS01",12.26111111
"166",2018-02-13,"WS01",8.198148148
"167",2018-02-14,"WS01",6.587037037
"168",2018-02-15,"WS01",5.637037037
"169",2018-02-16,"WS01",4.961111111
"170",2018-02-17,"WS01",4.557407407
"171",2018-02-18,"WS01",4.194444444
"172",2018-02-19,"WS01",3.962962963
"173",2018-02-20,"WS01",3.772222222
"174",2018-02-21,"WS01",4.509259259
"175",2018-02-22,"WS01",3.981481481
"176",2018-02-23,"WS01",3.796296296
"177",2018-02-24,"WS01",3.701851852
"178",2018-02-25,"WS01",3.677777778
"179",2018-02-26,"WS01",3.564814815
"180",2018-02-27,"WS01",3.372222222
"181",2018-02-28,"WS01",3.922222222
"182",2018-03-01,"WS01",5.825925926
"183",2018-03-02,"WS01",4.631481481
"184",2018-03-03,"WS01",4.090740741
"185",2018-03-04,"WS01",3.859259259
"186",2018-03-05,"WS01",3.783333333
"187",2018-03-06,"WS01",4.077777778
"188",2018-03-07,"WS01",3.751851852
"189",2018-03-08,"WS01",3.585185185
"190",2018-03-09,"WS01",3.487037037
"191",2018-03-10,"WS01",3.462962963
"192",2018-03-11,"WS01",3.507407407
"193",2018-03-12,"WS01",3.640740741
"194",2018-03-13,"WS01",3.346296296
"195",2018-03-14,"WS01",3.272222222
"196",2018-03-15,"WS01",3.203703704
"197",2018-03-16,"WS01",3.188888889
"198",2018-03-17,"WS01",3.274074074
"199",2018-03-18,"WS01",3.238888889
"200",2018-03-19,"WS01",3.387037037
"201",2018-03-20,"WS01",3.416666667
"202",2018-03-21,"WS01",3.144444444
"203",2018-03-22,"WS01",3.005555556
"204",2018-03-23,"WS01",2.968518519
"205",2018-03-24,"WS01",3.098148148
"206",2018-03-25,"WS01",3.307407407
"207",2018-03-26,"WS01",3.024074074
"208",2018-03-27,"WS01",3.003703704
"209",2018-03-28,"WS01",2.996296296
"210",2018-03-29,"WS01",3.281481481
"211",2018-03-30,"WS01",3.164814815
"212",2018-03-31,"WS01",2.968518519
"213",2018-04-01,"WS01",2.942592593
"214",2018-04-02,"WS01",2.866666667
"215",2018-04-03,"WS01",2.85
"216",2018-04-04,"WS01",3.014814815
"217",2018-04-05,"WS01",2.777777778
"218",2018-04-06,"WS01",2.883333333
"219",2018-04-07,"WS01",3.312962963
"220",2018-04-08,"WS01",2.953703704
"221",2018-04-09,"WS01",2.9
"222",2018-04-10,"WS01",2.740740741
"223",2018-04-11,"WS01",2.57037037
"224",2018-04-12,"WS01",2.47962963
"225",2018-04-13,"WS01",2.47037037
"226",2018-04-14,"WS01",2.485185185
"227",2018-04-15,"WS01",4.412962963
"228",2018-04-16,"WS01",3.462962963
"229",2018-04-17,"WS01",2.974074074
"230",2018-04-18,"WS01",2.740740741
"231",2018-04-19,"WS01",2.655555556
"232",2018-04-20,"WS01",2.612962963
"233",2018-04-21,"WS01",2.577777778
"234",2018-04-22,"WS01",2.664814815
"235",2018-04-23,"WS01",4.637037037
"236",2018-04-24,"WS01",5.240740741
"237",2018-04-25,"WS01",4.02962963
"238",2018-04-26,"WS01",3.825925926
"239",2018-04-27,"WS01",3.540740741
"240",2018-04-28,"WS01",3.285185185
"241",2018-04-29,"WS01",3.098148148
"242",2018-04-30,"WS01",3.033333333
"243",2018-05-01,"WS01",2.985185185
"244",2018-05-02,"WS01",2.940740741
"245",2018-05-03,"WS01",2.907407407
"246",2018-05-04,"WS01",2.859259259
"247",2018-05-05,"WS01",2.875925926
"248",2018-05-06,"WS01",2.764814815
"249",2018-05-07,"WS01",2.774074074
"250",2018-05-08,"WS01",2.748148148
"251",2018-05-09,"WS01",2.703703704
