"","type","scenario","frag_mod","tempC","Q_outlet","kA_avg","kR_avg","C_StStock_gC_total","C_LitterIn_gC","C_breakdownTQ_gC","C_breakdownTQ_gC_frag","C_breakdownTQ_gC_micrb","C_gw_gC","WS_bentic_area_m2","max_breakdown_daily","min_breakdown_daily","max_StStock_daily","min_StStock_daily","Jdate","WS_benthic_area_m2"
"1","Acer","ShalGW","M",11.9837912087912,2466.37656918331,0.0177647447526863,0.00510605919257957,6318708.42390395,99490.1594113895,99438.9795024225,25679.4538711195,73759.525631303,11338.1791322489,126121.112144797,104380.052421828,94496.7819005582,6928947.80254252,5574112.43890141,183.337912087912,126121.112144797
"2","Acer","DeepGW","M",11.9884615384615,2466.37656918331,0.017453418995354,0.00487894528871137,6239959.21560363,99490.1594113895,99451.7096090717,25783.6480068218,73668.06160225,11338.1791322489,126121.112144797,104357.195482286,94549.1898614261,6793332.16703503,5599756.33014346,183.337912087912,126121.112144797
"3","Acer","NoGW","M",12.9722527472527,2466.37656918331,0.0205048581801778,0.00686306597492371,6649914.85270562,99490.1594113895,99458.9733891636,25671.8834237162,73787.0899654474,11338.1791322489,126121.112144797,104102.919874742,94859.8935917571,7288881.2818812,5943093.67601025,183.337912087912,126121.112144797
"4","Acer","NoGW_Warm","M",14.9722527472527,2466.37656918331,0.0237802502372372,0.00884038078469197,5933050.44565895,99490.1594113895,99470.5242897793,28701.5337479105,70768.9905418688,11338.1791322489,126121.112144797,104542.956866281,94401.5997508494,6536521.03004686,5180205.90465362,183.337912087912,126121.112144797
"5","Acer","DeepGW_Warm","M",12.4884615384615,2466.37656918331,0.018058216649307,0.00515987573003956,6047820.50414851,99490.1594113895,99455.7182015474,26652.2793594685,72803.4388420789,11338.1791322489,126121.112144797,104307.410056204,94612.118013692,6611953.14756062,5421246.32669577,183.337912087912,126121.112144797
"6","Acer","ShalGW_Warm","M",13.9837912087912,2466.37656918331,0.0204297040550596,0.00643990073810781,5551717.7311511,99490.1594113895,99454.552206543,29306.423557399,70148.1286491441,11338.1791322489,126121.112144797,104474.576724213,94434.525418397,6151905.34288937,4812604.65780787,183.337912087912,126121.112144797
"7","Rhodo","ShalGW","M",11.9837912087912,2466.37656918331,0.0177647447526863,0.00510605919257957,20064190.7630206,99490.1594113895,94403.4042584915,23302.9860168293,71100.4182416622,11338.1791322489,126121.112144797,96655.7931959175,92322.7942024598,21355856.755139,18381643.5351747,183.337912087912,126121.112144797
"8","Rhodo","DeepGW","M",11.9884615384615,2466.37656918331,0.017453418995354,0.00487894528871137,20007659.0653409,99490.1594113895,94259.4460080464,22418.2069192131,71841.2390888333,11338.1791322489,126121.112144797,96237.5723075222,92422.8228791824,21174444.4353148,18487279.4376285,183.337912087912,126121.112144797
"9","Rhodo","NoGW","M",12.9722527472527,2466.37656918331,0.0205048581801778,0.00686306597492371,17690816.3656838,99490.1594113895,97643.6020552916,31801.2861726707,65842.3158826209,11338.1791322489,126121.112144797,103293.409697845,91587.4821068378,19543039.3905846,15658930.631163,183.337912087912,126121.112144797
"10","Rhodo","NoGW_Warm","M",14.9722527472527,2466.37656918331,0.0237802502372372,0.00884038078469197,15077706.1440492,99490.1594113895,98768.6022510443,36062.7560417877,62705.8462092566,11338.1791322489,126121.112144797,106215.704059478,90990.2409807662,16845924.4163544,13223024.7535626,183.337912087912,126121.112144797
"11","Rhodo","DeepGW_Warm","M",12.4884615384615,2466.37656918331,0.018058216649307,0.00515987573003956,19166558.0111634,99490.1594113895,95032.4268856919,23661.4879942898,71370.9388914021,11338.1791322489,126121.112144797,97114.6000712266,93013.8289679447,20459334.9223616,17607506.2311232,183.337912087912,126121.112144797
"12","Rhodo","ShalGW_Warm","M",13.9837912087912,2466.37656918331,0.0204297040550596,0.00643990073810781,16838626.6073263,99490.1594113895,96983.4561672962,28325.5020594355,68657.9541078607,11338.1791322489,126121.112144797,99358.7031267572,94526.9980565354,18264351.1498766,15160269.5441248,183.337912087912,126121.112144797
"13","Mixed","Base","M",12.4878396603397,2466.37656918331,0.018421261964754,0.00542535956299668,11045007.2795431,99490.1594113895,97776.0697230947,25353.3149262883,72422.7547968065,11338.1791322489,126121.112144797,100785.785927076,94860.2708572118,11872514.0552492,9946026.05265119,183.337912087912,126121.112144797
