"","type","scenario","frag_mod","tempC","Q_outlet","kA_avg","kR_avg","C_StStock_gC_total","C_LitterIn_gC","C_breakdownTQ_gC","C_breakdownTQ_gC_frag","C_breakdownTQ_gC_micrb","C_gw_gC","WS_bentic_area_m2","max_breakdown_daily","min_breakdown_daily","max_StStock_daily","min_StStock_daily","Jdate","WS_benthic_area_m2"
"1","Acer","ShalGW","M",6.5,827.57883817616,0.012160266271692,0.00265218257802082,1264537.36826689,17281.8203679244,30900.9753004913,11276.160090084,19482.805538339,4356.19874887117,97523.7048786763,32805.4199035752,28751.8417904118,1566926.37478853,928584.616571156,1,97523.7048786763
"2","Acer","DeepGW","M",8,827.57883817616,0.0134190814614038,0.00310772121203179,1308442.50466525,17281.8203679244,28037.479687631,9024.10718278297,18811.3974018784,4356.19874887117,97523.7048786763,29923.7727736621,26033.2014357596,1588722.30716279,1049042.58478045,1,97523.7048786763
"3","Acer","NoGW","M",4,827.57883817616,0.0105523852152836,0.00209546940416559,788632.649221945,17281.8203679244,25485.8038087131,10515.0378250223,14022.2854795672,4356.19874887117,97523.7048786763,28615.7879259164,21909.0181803153,1168971.69440258,450430.021210593,1,97523.7048786763
"4","Acer","NoGW_Warm","M",6,827.57883817616,0.011882363408496,0.00254746073519297,605707.126137048,17281.8203679244,23525.6821396007,11620.4408447518,11702.564448529,4356.19874887117,97523.7048786763,26666.455169405,20578.2688882615,937647.186732293,322358.281563358,1,97523.7048786763
"5","Acer","DeepGW_Warm","M",8.5,827.57883817616,0.0138477052476763,0.00327052321804731,1232284.75600955,17281.8203679244,27544.363440462,9197.53086960673,18080.8210278553,4356.19874887117,97523.7048786763,29407.2107150714,25481.8577426818,1508410.76611557,960171.424519261,1,97523.7048786763
"6","Acer","ShalGW_Warm","M",8.5,827.57883817616,0.0137558213585071,0.0032436716218573,985453.894991156,17281.8203679244,28636.5554715162,11928.8858951002,16582.3366245816,4356.19874887117,97523.7048786763,30400.0782566692,26155.9348445217,1300009.69277796,661440.138862684,1,97523.7048786763
"7","Rhodo","ShalGW","M",6.5,827.57883817616,0.012160266271692,0.00265218257802082,9187627.78858476,17281.8203679244,62438.1090647669,9910.20523093106,43631.0893096639,4356.19874887117,97523.7048786763,63898.3248413989,58889.5794881236,10419280.8131031,7606285.00184578,1,97523.7048786763
"8","Rhodo","DeepGW","M",8,827.57883817616,0.0134190814614038,0.00310772121203179,9613764.89606866,17281.8203679244,51787.7112734635,12494.591549348,38997.5474300496,4356.19874887117,97523.7048786763,53443.9728301508,49415.4535841679,10628884.4167824,8352470.94676895,1,97523.7048786763
"9","Rhodo","NoGW","M",4,827.57883817616,0.0105523852152836,0.00209546940416559,5329104.3501405,17281.8203679244,40135.4911112716,6183.6362911634,27555.1186707601,4356.19874887117,97523.7048786763,47170.7850023936,30801.682495119,7275031.60474492,3271790.40432887,1,97523.7048786763
"10","Rhodo","NoGW_Warm","M",6,827.57883817616,0.011882363408496,0.00254746073519297,3372032.23195876,17281.8203679244,34724.0231949883,8787.10250311893,21174.2185834208,4356.19874887117,97523.7048786763,43475.3418259977,24892.3928612633,5208042.05962019,1566743.79800755,1,97523.7048786763
"11","Rhodo","DeepGW_Warm","M",8.5,827.57883817616,0.0138477052476763,0.00327052321804731,8955342.20220253,17281.8203679244,51160.9855515728,13035.8964656197,37832.4813405486,4356.19874887117,97523.7048786763,53005.7663036627,48603.9065604138,10070907.6235475,7665297.487465,1,97523.7048786763
"12","Rhodo","ShalGW_Warm","M",8.5,827.57883817616,0.0137558213585071,0.0032436716218573,6639163.15647301,17281.8203679244,58176.1685965467,13412.1374310337,37157.5176574719,4356.19874887117,97523.7048786763,61158.25726914,53311.9990409757,8061473.09619797,5073726.80562507,1,97523.7048786763
"13","Mixed","Base","M",6.94295454545455,827.57883817616,0.0125322463962843,0.00278496099876312,4220104.12297478,17281.8203679244,37472.0594536907,11788.0694129394,25384.5564468311,4356.19874887117,97523.7048786763,38765.1759512032,35719.3520123569,4803933.84515436,3445881.91368192,1,97523.7048786763
