"","type","scenario","frag_mod","tempC","Q_outlet","kA_avg","kR_avg","C_StStock_gC_total","C_LitterIn_gC","C_breakdownTQ_gC","C_breakdownTQ_gC_frag","C_breakdownTQ_gC_micrb","C_gw_gC","WS_bentic_area_m2","max_breakdown_daily","min_breakdown_daily","max_StStock_daily","min_StStock_daily","Jdate","WS_benthic_area_m2"
"1","Acer","ShalGW","M",3.89168583585461,1296.86065376987,0.00436162180862405,0.0020513769721192,4732349.80441922,154189.316570086,63912.1767916199,13948.9244043175,50434.3149007918,4880.82496378855,18137.1184144181,67508.0333032924,61858.9549627327,4891609.56642021,4498476.51318354,105.45793407321,18137.1184144181
"2","Acer","DeepGW","M",2.8299809393305,1296.86065376987,0.00309884796231167,0.0014269455254171,4913641.24339224,154189.316570086,67276.8956304598,14488.7970361923,52878.4786958031,4880.82496378855,18137.1184144181,71039.4548406713,65223.0138737389,5053810.66905555,4693156.67290332,105.45793407321,18137.1184144181
"3","Acer","NoGW","M",6.36159918750342,1296.86065376987,0.00862507795923688,0.00459811690812987,5428307.72621353,154189.316570086,56160.4324841923,8853.52923740427,49360.288644585,4880.82496378855,18137.1184144181,58864.9431560093,54677.2682696807,5550185.118584,5240368.56780676,105.45793407321,18137.1184144181
"4","Acer","NoGW_Warm","M",6.36159918750342,1296.86065376987,0.0103845458897098,0.00615485021855681,5136040.58521996,154189.316570086,61595.6975830349,11287.3192125529,51716.9537266513,4880.82496378855,18137.1184144181,65028.0794865902,60021.8686138723,5271722.29931874,4874850.41343434,105.45793407321,18137.1184144181
"5","Acer","DeepGW_Warm","M",2.8299809393305,1296.86065376987,0.00323662434949501,0.00152467535900396,4848899.54607233,154189.316570086,68780.1609566737,15456.4372062406,53408.7628224422,4880.82496378855,18137.1184144181,72139.4691205549,66351.5060075161,5000901.32920143,4636058.36641006,105.45793407321,18137.1184144181
"6","Acer","ShalGW_Warm","M",3.89168583585461,1296.86065376987,0.00520960682762202,0.00269690812278354,4457416.14445519,154189.316570086,70304.5718581499,18351.532194064,52435.0285599284,4880.82496378855,18137.1184144181,74047.363668144,68191.4374668749,4642184.73373475,4173906.46397637,105.45793407321,18137.1184144181
"7","Rhodo","ShalGW","M",3.89168583585461,1296.86065376987,0.00436162180862405,0.0020513769721192,6772121.74420951,154189.316570086,19585.0046579487,10772.1024791684,13441.1498258783,4880.82496378855,18137.1184144181,20360.8148910313,18983.3344812347,6770999.72243502,6763415.77243519,105.45793407321,18137.1184144181
"8","Rhodo","DeepGW","M",2.8299809393305,1296.86065376987,0.00309884796231167,0.0014269455254171,6933309.79442037,154189.316570086,21380.6033602954,8133.01669158559,16614.9618263898,4880.82496378855,18137.1184144181,21799.2220526334,21248.6273553295,6937084.63503589,6902443.97923954,105.45793407321,18137.1184144181
"9","Rhodo","NoGW","M",6.36159918750342,1296.86065376987,0.00862507795923688,0.00459811690812987,8278184.10878457,154189.316570086,49036.2765130787,28960.9561945372,24607.4982580866,4880.82496378855,18137.1184144181,53265.1278765962,45953.2120331789,8048467.50020126,8534104.16853707,105.45793407321,18137.1184144181
"10","Rhodo","NoGW_Warm","M",6.36159918750342,1296.86065376987,0.0103845458897098,0.00615485021855681,8195832.75569832,154189.316570086,48900.0884014934,31002.1277477654,24702.9325864184,4880.82496378855,18137.1184144181,53773.9523613213,46350.4915775489,7928094.89916567,8492045.26864362,105.45793407321,18137.1184144181
"11","Rhodo","DeepGW_Warm","M",2.8299809393305,1296.86065376987,0.00323662434949501,0.00152467535900396,6891887.3607007,154189.316570086,21834.2098835798,8332.89200101061,17082.6242643213,4880.82496378855,18137.1184144181,22281.7388497964,21733.7291361023,6897668.05793847,6860057.68893235,105.45793407321,18137.1184144181
"12","Rhodo","ShalGW_Warm","M",3.89168583585461,1296.86065376987,0.00520960682762202,0.00269690812278354,6587013.00994557,154189.316570086,20186.9327093542,11452.5971000806,15262.4076044315,4880.82496378855,18137.1184144181,20712.2927428926,19942.9001199644,6551976.0920029,6594504.88714556,105.45793407321,18137.1184144181
"13","Mixed","Base","M",3.92972131981461,1296.86065376987,0.00467854735092487,0.00224467383071766,5276052.37639855,154189.316570086,45450.856518211,8446.56077811449,38111.6484875277,4880.82496378855,18137.1184144181,48360.5677898542,43607.8906628439,5397267.42783303,5104524.94110015,105.45793407321,18137.1184144181
